,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Web Link
20,PAC-MAN,GAME,4.2,685981,37M,"100,000,000+",Free,0,Everyone,Arcade,"May 15, 2018",6.6.3,4.1 and up,https://play.google.com/store/apps/details?id=com.namcobandaigames.pacmantournaments
21,Super Jim Jump - pixel 3d,GAME,4.5,10393,18M,"1,000,000+",Free,0,Everyone,Arcade,"July 11, 2018",2.2.3181,4.0 and up,https://play.google.com/store/apps/details?id=com.superbros.adventure.jump.free
22,8 Ball Pool,GAME,4.5,14198297,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,https://play.google.com/store/apps/details?id=com.miniclip.eightballpool
23,Magic Tiles 3,GAME,4.5,592068,Varies with device,"50,000,000+",Free,0,Everyone,Music,"August 3, 2018",5.13.007,4.1 and up,https://play.google.com/store/apps/details?id=com.youmusic.magictiles
24,Bubble Witch 3 Saga,GAME,4.7,1732263,78M,"50,000,000+",Free,0,Everyone,Puzzle,"July 17, 2018",4.8.4,3.0 and up,https://play.google.com/store/apps/details?id=com.king.bubblewitch3
25,Word Search,GAME,4.7,295241,3.9M,"10,000,000+",Free,0,Everyone,Word,"June 6, 2018",1.1.3,3.0 and up,https://play.google.com/store/apps/details?id=com.littletreehouse.wordsearchapp
26,Granny,GAME,4.5,1135631,59M,"50,000,000+",Free,0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up,https://play.google.com/store/apps/details?id=com.dvloper.granny
27,Angry Birds Classic,GAME,4.4,5566669,97M,"100,000,000+",Free,0,Everyone,Arcade,"May 24, 2018",7.9.3,4.1 and up,
28,Flow Free,GAME,4.3,1295557,11M,"100,000,000+",Free,0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up,https://play.google.com/store/apps/details?id=com.bigduckgames.flow
29,Race the Traffic Moto,GAME,3.8,270687,38M,"10,000,000+",Free,0,Teen,Racing,"July 20, 2018",1.0.16,4.0.3 and up,https://play.google.com/store/apps/details?id=com.mastercomlimited.racethetrafficmoto
30,Fishdom,GAME,4.6,2157930,Varies with device,"10,000,000+",Free,0,Everyone,Puzzle,"July 19, 2018",2.21.5,4.0.3 and up,https://play.google.com/store/apps/details?id=com.playrix.fishdomdd.gplay
31,Galaxy Attack: Alien Shooter,GAME,4.6,506275,Varies with device,"10,000,000+",Free,0,Everyone,Arcade,"August 1, 2018",5.66,4.1 and up,https://play.google.com/store/apps/details?id=com.alien.shooter.galaxy.attack
32,Zombie Tsunami,GAME,4.4,4920817,Varies with device,"100,000,000+",Free,0,Everyone 10+,Arcade,"June 15, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=net.mobigame.zombietsunami
33,Bubble Shooter 2,GAME,4.3,23005,Varies with device,"5,000,000+",Free,0,Everyone,Arcade,"July 25, 2018",3.5,4.1 and up,https://play.google.com/store/apps/details?id=banbong.tungbong.bubble
34,Barbie™ Fashion Closet,GAME,4.1,68057,85M,"10,000,000+",Free,0,Everyone,Casual;Creativity,"July 30, 2018",1.3.7,4.1 and up,https://play.google.com/store/apps/details?id=com.mattel.barbiesparkleblastkids
35,Candy Crush Jelly Saga,GAME,4.3,1300490,78M,"50,000,000+",Free,0,Everyone,Puzzle,"July 20, 2018",2.1.10,4.0 and up,https://play.google.com/store/apps/details?id=com.king.candycrushjellysaga
36,Hill Climb Racing,GAME,4.4,8923587,63M,"100,000,000+",Free,0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up,https://play.google.com/store/apps/details?id=com.fingersoft.hillclimb
37,Gardenscapes,GAME,4.6,4128732,Varies with device,"50,000,000+",Free,0,Everyone,Casual,"July 13, 2018",2.6.2,4.0.3 and up,https://play.google.com/store/apps/details?id=com.playrix.gardenscapes
38,Marble - Temple Quest,GAME,4.3,42053,24M,"10,000,000+",Free,0,Everyone,Puzzle,"June 21, 2018",4.9,4.0.3 and up,https://play.google.com/store/apps/details?id=marble.temple.quest.legend
39,Shooting King,GAME,4.4,257724,69M,"10,000,000+",Free,0,Everyone 10+,Sports,"May 25, 2018",1.4.2,4.0.3 and up,https://play.google.com/store/apps/details?id=com.mobirix.shotingking
40,Zombie Catchers,GAME,4.7,990491,75M,"10,000,000+",Free,0,Everyone,Action,"May 24, 2018",1.0.27,4.1 and up,
41,Minion Rush: Despicable Me Official Game,GAME,4.5,10216538,Varies with device,"100,000,000+",Free,0,Everyone 10+,Casual;Action & Adventure,"July 12, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftDMHM
42,Farm Heroes Saga,GAME,4.4,7614130,70M,"100,000,000+",Free,0,Everyone,Casual,"July 26, 2018",5.1.8,2.3 and up,https://play.google.com/store/apps/details?id=com.king.farmheroessaga
43,Geometry Dash World,GAME,4.6,760628,63M,"10,000,000+",Free,0,Everyone,Arcade,"December 22, 2017",1.03,4.0 and up,https://play.google.com/store/apps/details?id=com.robtopx.geometrydashworld
44,My Talking Angela,GAME,4.5,9881829,99M,"100,000,000+",Free,0,Everyone,Casual,"July 3, 2018",3.7.2.51,4.1 and up,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingangelafree
45,Cut the Rope FULL FREE,GAME,4.4,2123381,49M,"100,000,000+",Free,0,Everyone,Puzzle,"July 5, 2018",3.7.2,4.1 and up,https://play.google.com/store/apps/details?id=com.zeptolab.ctr.ads
46,Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7671249,Varies with device,"100,000,000+",Free,0,Mature 17+,Action,"August 2, 2018",Varies with device,Varies with device,
47,Subway Surfers,GAME,4.5,27723193,76M,"1,000,000,000+",Free,0,Everyone 10+,Arcade,"July 12, 2018",1.90.0,4.1 and up,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf
48,ROBLOX,GAME,4.5,4447346,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,
49,Pou,GAME,4.3,10485334,24M,"500,000,000+",Free,0,Everyone,Casual,"May 25, 2018",1.4.77,4.0 and up,https://play.google.com/store/apps/details?id=me.pou.app
50,8 Ball Pool,GAME,4.5,14198602,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,https://play.google.com/store/apps/details?id=com.miniclip.eightballpool
51,Clash of Clans,GAME,4.6,44891723,98M,"100,000,000+",Free,0,Everyone 10+,Strategy,"July 15, 2018",10.322.16,4.1 and up,https://play.google.com/store/apps/details?id=com.supercell.clashofclans
52,Candy Crush Saga,GAME,4.4,22428456,74M,"500,000,000+",Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,https://play.google.com/store/apps/details?id=com.king.candycrushsaga
53,Plants vs. Zombies FREE,GAME,4.4,4066980,69M,"100,000,000+",Free,0,Everyone 10+,Strategy,"July 6, 2018",2.2.00,4.1 and up,https://play.google.com/store/apps/details?id=com.ea.game.pvzfree_row
54,Cooking Fever,GAME,4.5,3197865,82M,"100,000,000+",Free,0,Everyone,Arcade,"July 12, 2018",2.8.0,4.0.3 and up,https://play.google.com/store/apps/details?id=com.nordcurrent.canteenhd
55,Toon Blast,GAME,4.7,1351068,Varies with device,"10,000,000+",Free,0,Everyone,Puzzle,"July 30, 2018",3196,4.1 and up,https://play.google.com/store/apps/details?id=net.peakgames.toonblast
56,Score! Hero,GAME,4.6,5418675,96M,"100,000,000+",Free,0,Everyone,Sports,"June 13, 2018",1.751,4.4 and up,https://play.google.com/store/apps/details?id=com.firsttouchgames.story
57,My Talking Angela,GAME,4.5,9881908,99M,"100,000,000+",Free,0,Everyone,Casual,"July 3, 2018",3.7.2.51,4.1 and up,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingangelafree
58,Bubble Shooter,GAME,4.5,148895,46M,"10,000,000+",Free,0,Everyone,Casual,"July 17, 2018",1.20.1,4.0.3 and up,https://play.google.com/store/apps/details?id=com.gdl.Main
59,Toy Blast,GAME,4.7,1889250,Varies with device,"50,000,000+",Free,0,Everyone,Puzzle,"July 23, 2018",5423,4.1 and up,https://play.google.com/store/apps/details?id=net.peakgames.amy
60,Miraculous Ladybug & Cat Noir - The Official Game,GAME,4.5,183846,99M,"10,000,000+",Free,0,Everyone,Action,"July 30, 2018",1.0.6,4.4 and up,
61,Wordscapes,GAME,4.8,230710,87M,"10,000,000+",Free,0,Everyone,Word,"August 2, 2018",1.0.47,4.1 and up,https://play.google.com/store/apps/details?id=com.peoplefun.wordcross
62,Word Search,GAME,4.7,295305,3.9M,"10,000,000+",Free,0,Everyone,Word,"June 6, 2018",1.1.3,3.0 and up,https://play.google.com/store/apps/details?id=com.littletreehouse.wordsearchapp
63,Candy Crush Soda Saga,GAME,4.4,6198880,67M,"100,000,000+",Free,0,Everyone,Casual,"July 10, 2018",1.118.4,4.1 and up,https://play.google.com/store/apps/details?id=com.king.candycrushsodasaga
64,Fishdom,GAME,4.6,2157930,Varies with device,"10,000,000+",Free,0,Everyone,Puzzle,"July 19, 2018",2.21.5,4.0.3 and up,https://play.google.com/store/apps/details?id=com.playrix.fishdomdd.gplay
65,Garena Free Fire,GAME,4.5,5465624,53M,"100,000,000+",Free,0,Teen,Action,"August 3, 2018",1.21.0,4.0.3 and up,
66,Block Puzzle,GAME,4.6,59854,7.8M,"5,000,000+",Free,0,Everyone,Puzzle,"March 6, 2018",2.9,2.3 and up,https://play.google.com/store/apps/details?id=com.Kanaro.Dodoblockpuzzle
67,Bowmasters,GAME,4.7,1534466,Varies with device,"50,000,000+",Free,0,Teen,Action,"July 23, 2018",2.12.5,4.1 and up,https://play.google.com/store/apps/details?id=com.miniclip.bowmasters
68,Clash Royale,GAME,4.6,23134775,97M,"100,000,000+",Free,0,Everyone 10+,Strategy,"June 27, 2018",2.3.2,4.1 and up,https://play.google.com/store/apps/details?id=com.supercell.clashroyale
69,My Talking Tom,GAME,4.5,14891223,Varies with device,"500,000,000+",Free,0,Everyone,Casual,"July 19, 2018",4.8.0.132,4.1 and up,https://play.google.com/store/apps/details?id=io.kodular.haroonrafiq95.TalkingTom
70,Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7672495,Varies with device,"100,000,000+",Free,0,Mature 17+,Action,"August 2, 2018",Varies with device,Varies with device,
71,Granny,GAME,4.5,1137271,59M,"50,000,000+",Free,0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up,https://play.google.com/store/apps/details?id=com.dvloper.granny
72,Galaxy Attack: Alien Shooter,GAME,4.6,506275,Varies with device,"10,000,000+",Free,0,Everyone,Arcade,"August 1, 2018",5.66,4.1 and up,https://play.google.com/store/apps/details?id=com.alien.shooter.galaxy.attack
73,Angry Birds Rio,GAME,4.4,2610622,46M,"100,000,000+",Free,0,Everyone,Arcade,"July 3, 2018",2.6.9,4.1 and up,
74,Zombie Catchers,GAME,4.7,990586,75M,"10,000,000+",Free,0,Everyone,Action,"May 24, 2018",1.0.27,4.1 and up,
75,Zombie Hunter King,GAME,4.3,10354,50M,"1,000,000+",Free,0,Mature 17+,Action,"August 1, 2018",1.0.8,2.3 and up,https://play.google.com/store/apps/details?id=com.mobirix.zombieking
76,Temple Run 2,GAME,4.3,8118937,62M,"500,000,000+",Free,0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up,https://play.google.com/store/apps/details?id=com.imangi.templerun2
77,Zombie Tsunami,GAME,4.4,4921122,Varies with device,"100,000,000+",Free,0,Everyone 10+,Arcade,"June 15, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=net.mobigame.zombietsunami
78,Jungle Marble Blast,GAME,4.3,18985,23M,"5,000,000+",Free,0,Everyone,Casual,"July 23, 2018",1.5.4,4.0.3 and up,https://play.google.com/store/apps/details?id=com.marblelab.jungle.marble.blast
79,Rider,GAME,4.5,655067,72M,"10,000,000+",Free,0,Teen,Arcade,"July 17, 2017",1.2.1,4.0.3 and up,https://play.google.com/store/apps/details?id=com.uen.rider
80,Farm Heroes Saga,GAME,4.4,7614271,70M,"100,000,000+",Free,0,Everyone,Casual,"July 26, 2018",5.1.8,2.3 and up,https://play.google.com/store/apps/details?id=com.king.farmheroessaga
81,Super Jim Jump - pixel 3d,GAME,4.5,10434,18M,"1,000,000+",Free,0,Everyone,Arcade,"July 11, 2018",2.2.3181,4.0 and up,https://play.google.com/store/apps/details?id=com.superbros.adventure.jump.free
82,slither.io,GAME,4.4,5234825,Varies with device,"100,000,000+",Free,0,Everyone,Action,"November 14, 2017",Varies with device,2.3 and up,https://play.google.com/store/apps/details?id=air.com.hypah.io.slither
83,Roll the Ball® - slide puzzle,GAME,4.5,1385093,35M,"100,000,000+",Free,0,Everyone,Puzzle,"August 2, 2018",1.7.40,4.1 and up,https://play.google.com/store/apps/details?id=com.bitmango.rolltheballunrollme
84,Talking Tom Gold Run,GAME,4.6,2698348,78M,"100,000,000+",Free,0,Everyone,Action,"July 31, 2018",2.8.2.59,4.1 and up,https://play.google.com/store/apps/details?id=com.outfit7.talkingtomgoldrun
85,Pixel Art: Color by Number Game,GAME,4.7,1125017,25M,"10,000,000+",Free,0,Everyone,Puzzle,"July 17, 2018",3.9.2,4.3 and up,
86,Dream League Soccer 2018,GAME,4.6,9882639,74M,"100,000,000+",Free,0,Everyone,Sports,"July 16, 2018",5.064,4.4 and up,
87,Angry Birds Classic,GAME,4.4,5566805,97M,"100,000,000+",Free,0,Everyone,Arcade,"May 24, 2018",7.9.3,4.1 and up,
88,Fruits Bomb,GAME,4.4,74673,17M,"10,000,000+",Free,0,Everyone,Casual,"July 6, 2018",3.3.3179,4.0.3 and up,https://play.google.com/store/apps/details?id=com.kunapuzzlematch.FruitsBomb
89,Traffic Racer,GAME,4.5,5387639,53M,"100,000,000+",Free,0,Everyone,Racing,"February 27, 2018",2.5,4.1 and up,https://play.google.com/store/apps/details?id=com.skgames.trafficracer
90,Hill Climb Racing 2,GAME,4.6,2750410,Varies with device,"100,000,000+",Free,0,Everyone,Racing,"August 2, 2018",1.17.2,4.2 and up,https://play.google.com/store/apps/details?id=com.fingersoft.hcr2
91,Flow Free,GAME,4.3,1295606,11M,"100,000,000+",Free,0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up,https://play.google.com/store/apps/details?id=com.bigduckgames.flow
92,Knife Hit,GAME,4.5,461137,60M,"10,000,000+",Free,0,Everyone,Arcade,"May 22, 2018",1.7.2,4.0.3 and up,https://play.google.com/store/apps/details?id=com.KnifeHitBySevagBaghdasarian.KnifeHit
93,Block Craft 3D: Building Simulator Games For Free,GAME,4.5,946926,57M,"50,000,000+",Free,0,Everyone,Simulation,"March 5, 2018",2.10.2,4.0.3 and up,https://play.google.com/store/apps/details?id=com.fungames.blockcraft
94,Farm Fruit Pop: Party Time,GAME,4.4,9305,14M,"1,000,000+",Free,0,Everyone,Casual,"August 2, 2018",1.9.2,4.0.3 and up,https://play.google.com/store/apps/details?id=nd.cutejelly.fruit.farmdeluxe
95,ROBLOX,GAME,4.5,4448791,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,
96,Helix Jump,GAME,4.2,1498648,33M,"100,000,000+",Free,0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,https://play.google.com/store/apps/details?id=com.shah.helixjump
97,Subway Surfers,GAME,4.5,27724094,76M,"1,000,000,000+",Free,0,Everyone 10+,Arcade,"July 12, 2018",1.90.0,4.1 and up,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf
98,Candy Crush Saga,GAME,4.4,22428456,74M,"500,000,000+",Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,https://play.google.com/store/apps/details?id=com.king.candycrushsaga
99,Toon Blast,GAME,4.7,1351089,Varies with device,"10,000,000+",Free,0,Everyone,Puzzle,"July 30, 2018",3196,4.1 and up,https://play.google.com/store/apps/details?id=net.peakgames.toonblast
100,Love Balls,GAME,4.2,360630,40M,"50,000,000+",Free,0,Everyone,Puzzle,"July 31, 2018",1.2.7,4.1 and up,https://play.google.com/store/apps/details?id=com.supertapx.lovedots
101,Granny,GAME,4.5,1137267,59M,"50,000,000+",Free,0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up,https://play.google.com/store/apps/details?id=com.dvloper.granny
102,8 Ball Pool,GAME,4.5,14200344,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,https://play.google.com/store/apps/details?id=com.miniclip.eightballpool
103,Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7672495,Varies with device,"100,000,000+",Free,0,Mature 17+,Action,"August 2, 2018",Varies with device,Varies with device,
104,slither.io,GAME,4.4,5234810,Varies with device,"100,000,000+",Free,0,Everyone,Action,"November 14, 2017",Varies with device,2.3 and up,https://play.google.com/store/apps/details?id=air.com.hypah.io.slither
105,Hungry Shark Evolution,GAME,4.5,6074334,100M,"100,000,000+",Free,0,Teen,Arcade,"July 25, 2018",6.0.0,4.1 and up,https://play.google.com/store/apps/details?id=com.fgol.HungrySharkEvolution
106,Temple Run 2,GAME,4.3,8118937,62M,"500,000,000+",Free,0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up,https://play.google.com/store/apps/details?id=com.imangi.templerun2
107,Kick the Buddy,GAME,4.3,1000417,Varies with device,"50,000,000+",Free,0,Teen,Action,"July 5, 2018",Varies with device,4.4 and up,https://play.google.com/store/apps/details?id=com.playgendary.kickthebuddy
108,Magic Tiles 3,GAME,4.5,592282,Varies with device,"50,000,000+",Free,0,Everyone,Music,"August 3, 2018",5.13.007,4.1 and up,https://play.google.com/store/apps/details?id=com.youmusic.magictiles
109,Bowmasters,GAME,4.7,1535084,Varies with device,"50,000,000+",Free,0,Teen,Action,"July 23, 2018",2.12.5,4.1 and up,https://play.google.com/store/apps/details?id=com.miniclip.bowmasters
110,Piano Tiles 2™,GAME,4.7,8118880,Varies with device,"100,000,000+",Free,0,Everyone,Arcade,"August 3, 2018",3.1.0.226,4.1 and up,
111,Pokémon GO,GAME,4.1,10424925,85M,"100,000,000+",Free,0,Everyone,Adventure,"July 23, 2018",0.111.3,4.4 and up,https://play.google.com/store/apps/details?id=com.nianticlabs.pokemongo
112,Wordscapes,GAME,4.8,230727,87M,"10,000,000+",Free,0,Everyone,Word,"August 2, 2018",1.0.47,4.1 and up,https://play.google.com/store/apps/details?id=com.peoplefun.wordcross
113,Paint Hit,GAME,4.4,37023,33M,"10,000,000+",Free,0,Everyone,Casual,"July 6, 2018",5.200,5.0 and up,https://play.google.com/store/apps/details?id=com.br.painthit
114,Snake VS Block,GAME,4.2,422244,32M,"50,000,000+",Free,0,Teen,Arcade,"April 23, 2018",1.24,4.1 and up,https://play.google.com/store/apps/details?id=com.bentostudio.ballsvsblocks
115,Rolly Vortex,GAME,4.4,98123,40M,"10,000,000+",Free,0,Teen,Arcade,"May 25, 2018",1.7.0,4.1 and up,https://play.google.com/store/apps/details?id=com.bdj.vortexDroid
116,Woody Puzzle,GAME,4.7,21262,29M,"1,000,000+",Free,0,Everyone,Puzzle,"August 3, 2018",1.0.9,4.4 and up,
117,Stack Jump,GAME,4.3,118253,40M,"10,000,000+",Free,0,Teen,Arcade,"May 3, 2018",1.4.6,4.1 and up,https://play.google.com/store/apps/details?id=io.voodoo.stackjump
118,Color by Number – New Coloring Book,GAME,4.7,141529,24M,"5,000,000+",Free,0,Everyone 10+,Board,"August 1, 2018",2.0.6,4.1 and up,
119,The Cube,GAME,4.2,70226,38M,"5,000,000+",Free,0,Everyone,Arcade,"July 25, 2018",1.2.9,4.1 and up,https://play.google.com/store/apps/details?id=com.all3media.thecube
120,Extreme Car Driving Simulator,GAME,4.3,2251012,52M,"100,000,000+",Free,0,Everyone,Racing,"May 3, 2018",4.17.2,4.0 and up,https://play.google.com/store/apps/details?id=com.PegasusStudio.ExtremeCarDrivingSimulator
121,Bricks n Balls,GAME,4.4,30253,Varies with device,"1,000,000+",Free,0,Everyone,Casual,"August 5, 2018",1.0.1.049,4.1 and up,https://play.google.com/store/apps/details?id=com.jksol.bouncy.balls
122,The Fish Master!,GAME,4.1,15763,54M,"1,000,000+",Free,0,Everyone,Arcade,"July 17, 2018",1.6,4.1 and up,https://play.google.com/store/apps/details?id=io.voodoo.fishmaster
123,Color Road,GAME,4.1,84911,71M,"10,000,000+",Free,0,Everyone,Arcade,"July 19, 2018",2.5.0,4.1 and up,https://play.google.com/store/apps/details?id=com.bigframes.color_road
124,Draw In,GAME,4.2,46416,73M,"10,000,000+",Free,0,Everyone,Arcade,"July 23, 2018",1.0.8,4.1 and up,https://play.google.com/store/apps/details?id=com.supertapx.drawin
125,Block Craft 3D: Building Simulator Games For Free,GAME,4.5,946926,57M,"50,000,000+",Free,0,Everyone,Simulation,"March 5, 2018",2.10.2,4.0.3 and up,https://play.google.com/store/apps/details?id=com.fungames.blockcraft
126,PLANK!,GAME,4.7,7196,38M,"500,000+",Free,0,Everyone,Arcade,"July 17, 2018",1.0.2,4.3 and up,https://play.google.com/store/apps/details?id=com.kwalee.plankgp
127,Looper!,GAME,4.6,48256,62M,"1,000,000+",Free,0,Everyone,Puzzle,"July 20, 2018",1.2.0,4.1 and up,https://play.google.com/store/apps/details?id=com.wawagame.app.looper
128,Trivia Crack,GAME,4.5,6427773,95M,"100,000,000+",Free,0,Everyone,Trivia,"August 3, 2018",2.79.0,4.1 and up,https://play.google.com/store/apps/details?id=com.etermax.preguntados.lite
129,Will it Crush?,GAME,3.1,25825,16M,"5,000,000+",Free,0,Everyone,Simulation,"May 22, 2018",1.3.3,4.4 and up,https://play.google.com/store/apps/details?id=com.dimchi.crush
130,Tomb of the Mask,GAME,4.1,55380,39M,"5,000,000+",Free,0,Everyone,Action,"July 24, 2018",1.2.1,5.0 and up,https://play.google.com/store/apps/details?id=com.playgendary.tom
131,Baseball Boy!,GAME,3.4,148177,78M,"10,000,000+",Free,0,Everyone,Arcade,"July 27, 2018",1.7.2,4.1 and up,https://play.google.com/store/apps/details?id=com.itchmedia.ta3
132,PUBG MOBILE,GAME,4.4,3715656,36M,"50,000,000+",Free,0,Teen,Action,"July 24, 2018",0.7.0,4.3 and up,
133,Episode - Choose Your Story,GAME,4.3,1841061,Varies with device,"50,000,000+",Free,0,Teen,Simulation,"July 31, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=com.episodeinteractive.android.catalog
134,Hello Stars,GAME,4.6,101686,31M,"10,000,000+",Free,0,Everyone,Puzzle,"August 4, 2018",1.8.2,4.1 and up,https://play.google.com/store/apps/details?id=com.fortune.sim.game.cash
135,Run Sausage Run!,GAME,4.4,275447,Varies with device,"10,000,000+",Free,0,Everyone 10+,Arcade,"August 1, 2018",Varies with device,4.1 and up,https://play.google.com/store/apps/details?id=com.crazylabs.sausage.run
136,Tank Stars,GAME,4.3,174755,98M,"10,000,000+",Free,0,Everyone 10+,Arcade,"July 11, 2018",1.1.1,5.0 and up,https://play.google.com/store/apps/details?id=com.playgendary.tanks
137,Castle Clash: Heroes of the Empire US,GAME,4.6,4578476,24M,"50,000,000+",Free,0,Everyone 10+,Strategy,"July 17, 2018",1.4.51,4.1 and up,
138,Hole.io,GAME,4.2,145353,85M,"10,000,000+",Free,0,Teen,Arcade,"July 24, 2018",1.3.1,4.1 and up,https://play.google.com/store/apps/details?id=io.voodoo.holeio
139,Helix Jump,GAME,4.2,1499373,33M,"100,000,000+",Free,0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,https://play.google.com/store/apps/details?id=com.shah.helixjump
